+I[2019-10-01T02:55, 2019-10-01T03:00, apple, 11, 5672.95, 515.72, 6]
+I[2019-10-01T02:55, 2019-10-01T03:00, samsung, 11, 2060.79, 187.34, 11]
+I[2019-10-01T02:55, 2019-10-01T03:00, xiaomi, 5, 416.03, 83.21, 5]
+I[2019-10-01T02:55, 2019-10-01T03:00, hp, 3, 962.02, 320.67, 3]
+I[2019-10-01T02:55, 2019-10-01T03:00, rondell, 1, 56.60, 56.60, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, prestigio, 1, 8.62, 8.62, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, redmond, 2, 64.30, 32.15, 2]
+I[2019-10-01T02:55, 2019-10-01T03:00, remington, 1, 39.87, 39.87, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, lg, 1, 365.49, 365.49, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, yokohama, 1, 88.81, 88.81, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, lenovo, 1, 251.74, 251.74, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, pulser, 1, 1763.21, 1763.21, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, huawei, 2, 355.07, 177.54, 2]
+I[2019-10-01T02:55, 2019-10-01T03:00, nikon, 1, 81.86, 81.86, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, jinga, 1, 8.44, 8.44, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, midea, 1, 48.88, 48.88, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, lucente, 1, 203.87, 203.87, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, uragan, 1, 38.87, 38.87, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, p.i.t., 1, 27.36, 27.36, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, oppo, 2, 358.76, 179.38, 2]
+I[2019-10-01T02:55, 2019-10-01T03:00, zeta, 1, 74.57, 74.57, 1]
+I[2019-10-01T02:55, 2019-10-01T03:00, triangle, 3, 174.01, 58.00, 2]
+I[2019-10-01T02:55, 2019-10-01T03:00, UNKNOWN, 5, 488.72, 97.74, 5]
+I[2019-10-01T03:00, 2019-10-01T03:05, lucente, 2, 188.42, 94.21, 2]
+I[2019-10-01T03:00, 2019-10-01T03:05, samsung, 9, 2671.27, 296.81, 9]
+I[2019-10-01T03:00, 2019-10-01T03:05, haier, 1, 193.03, 193.03, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, canon, 1, 167.21, 167.21, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, yokohama, 2, 135.91, 67.96, 2]
+I[2019-10-01T03:00, 2019-10-01T03:05, huawei, 1, 278.54, 278.54, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, casio, 1, 64.09, 64.09, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, UNKNOWN, 7, 564.20, 80.60, 7]
+I[2019-10-01T03:00, 2019-10-01T03:05, asus, 1, 357.25, 357.25, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, ariston, 1, 210.29, 210.29, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, gopro, 1, 437.51, 437.51, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, tefal, 1, 38.59, 38.59, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, lenovo, 2, 766.53, 383.27, 2]
+I[2019-10-01T03:00, 2019-10-01T03:05, xiaomi, 2, 66.39, 33.20, 2]
+I[2019-10-01T03:00, 2019-10-01T03:05, montale, 1, 102.96, 102.96, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, marshall, 1, 89.83, 89.83, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, indesit, 1, 189.97, 189.97, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, triangle, 1, 41.96, 41.96, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, nokia, 1, 73.57, 73.57, 1]
+I[2019-10-01T03:00, 2019-10-01T03:05, ea, 1, 74.36, 74.36, 1]
